Name	early_unrefined_intensity	early_refined_intensity	late_unrefined_intensity	late_refined_intensity	cell_count	Cellular function
HAAO	0.5455552588335624	0.003241689347989	-0.5292768907303076	-0.0031449632847194	0.2223843158248096	nucleobase-containing small molecule metabolic process
HABP2	0.5304557972116754	0.0086655259032499	0.0688509033108791	0.0011247483564865	0.5315714746495593	cell adhesion
HABP4	-0.0593600400114694	-4.624147116893466e-05	-0.7058958151091175	-0.00054989283997	0.3107602711462829	positive regulation of translational initiation
HACD1	0.7889395454157119	0.0034358317202854	-0.0495285162995936	-0.0002156966884847	0.5207529251153364	lipid metabolic process
HACD2	-1.2165282705168987	-0.0345700838632787	-1.1467993665913905	-0.0325885976004275	-1.3989551502598316	lipid metabolic process
HACD3	0.0517559611320923	0.0002926799602019	-0.5658930222535636	-0.0032001250408439	0.5906633242558903	lipid metabolic process
HACD4	1.06604778408574	0.0048174699362834	0.1062569050485842	0.0004801749539145	0.6308138334992357	lipid metabolic process
HACE1	0.8327741118437688	0.0272925059674558	0.2437091340637103	0.0079870794506699	0.192049174124438	membrane organization
HACL1	0.983856284205506	0.0166330743407782	0.2644013008470159	0.0044699683921196	0.8090536274586038	lipid metabolic process
HACL2	-0.768024031784868	-0.0036719228959634	-1.0075248945290751	-0.0048169765207435	-0.1670278813841135	amino acid metabolic process
HADH	-0.7353081406273381	-0.0026471093062584	-0.7377458095963035	-0.0026558849145466	0.6555173943555515	lipid metabolic process
HADHA	-0.0157957310352958	-0.0002235253898804	-0.7028358626067844	-0.0099458302917486	0.3518286900068537	lipid metabolic process
HADHB	-0.989461011478844	-0.0433205820045667	-0.5638395073242986	-0.0246860213096724	0.0046667759530001	lipid metabolic process
HAGH	-0.2842532525188486	-0.0460228756088217	-0.5181137796953584	-0.083886765842916	0.1518015264868063	sulfur compound metabolic process
HAGHL	1.2839299046360728	0.0229117291482307	-0.2456270263623321	-0.0043832142854358	-1.1001957073183362	Other
HAL	0.0252678299693375	0.0002769354164639	-0.4966901325162437	-0.005443723852378	-0.0867929512007182	amino acid metabolic process
HAMP	-0.3097143886791163	-0.0078806826199401	-0.3059233617558323	-0.0077842199398771	0.4144225191615329	immune system process
HAND1	-0.0984876000373465	-0.0030890635751713	-0.4950367791426674	-0.0155268285778097	-0.2148786421266184	regulation of DNA-templated transcription
HAND2	0.1223449186630615	0.0037266262224768	-0.5592697304047224	-0.0170353559881278	0.9796944077123108	anatomical structure development
HAO1	-0.7759321650228881	-0.0022626181932067	-0.2624592504508591	-0.0007653311743147	-0.1220182481468975	lipid metabolic process
HAO2	0.2931813656093904	0.0008801304595593	-0.3165919138424031	-0.0009504089253548	0.140570899962766	lipid metabolic process
HAP1	-0.0750988629840235	-0.0046184298757914	-0.7176258985050046	-0.0441325575062607	-1.3065372344823922	microtubule-based movement
HAPLN1	-0.2882087948539907	-0.0024532332617971	-0.4464406431660674	-0.0038001027546295	0.5315571813127534	anatomical structure development
HAPLN2	-0.2756617386643051	-0.002720505698878	-1.4057280206718104	-0.01387312983601	0.0541755339696276	anatomical structure development
HAPLN3	-0.2656191772274424	-0.0031571495405253	-0.4826458467777277	-0.0057367285348	0.6016150235761626	anatomical structure development
HAPLN4	0.842739889736364	0.0209277596818231	0.2511679345870342	0.0062372533195998	0.3522491019054056	anatomical structure development
HAPSTR1	-0.8041103913927994	-0.0085798578761611	-0.705157784313466	-0.0075240335586246	0.9732501672908578	negative regulation of signal transduction by p53 class mediator
HARBI1	0.3626145323867037	0.000358263157998	0.2176368213217574	0.0002150251794658	0.6355790580163199	Other
HARS1	-0.0671664858261221	-0.0010423566935355	-0.5536331273716675	-0.0085918325036809	0.3450391471340402	tRNA metabolic process
HARS2	0.9277003361285504	0.001710679419821	0.6611441739803244	0.0012191498568197	0.1501749502103832	tRNA metabolic process
HAS1	-0.5804104239903218	-0.0024307588556714	-0.9893772402384368	-0.0041435118821185	0.5155607642489319	carbohydrate derivative metabolic process
HAS2	0.9684186637496052	0.0048721142973242	-0.0704539671360697	-0.0003544539086615	0.5269946776540991	cell differentiation
HASPIN	-0.065033041639916	-0.0009572863729395	-0.3451874176316795	-0.0050811587875383	0.3272995023281433	mitotic cell cycle
HAT1	-0.2812842559969291	-0.008695058921377	-0.1529528869289659	-0.0047280796407481	0.9817571342459736	chromatin organization
HAUS1	0.681270294767657	0.1711132973962028	0.5610560344707224	0.1409193220659424	-0.5755044752044647	cytoskeleton organization
HAUS2	0.2104358435586162	0.0172885671634016	0.1130023157313141	0.0092838182512218	0.6287954410957592	cytoskeleton organization
HAUS3	-0.4996512525616157	-0.1010799480444674	-0.0522186219045882	-0.01056387942992	-0.0361854052539425	cytoskeleton organization
HAUS4	0.1962548731118664	0.0262243611647	-1.2279922138795727	-0.164089231587444	-0.5696397659451904	cytoskeleton organization
HAUS6	-0.0293332698837285	-0.0009470832847359	-0.844329612906555	-0.0272608702119139	0.0785202820782014	cytoskeleton organization
HAUS7	-0.0497931660809878	-0.0102454916459901	-0.4084973570896949	-0.0840528246921327	-0.0407382345155553	cytoskeleton organization
HAUS8	0.2742264763916512	0.0408048996870777	0.8412853024280433	0.1251832530012928	-0.2811050938903449	cytoskeleton organization
HAVCR1	1.1202063632576131	0.0417892983813252	0.1984161459336673	0.0074019143240554	0.5863214402622376	membrane organization
HAVCR2	0.0131624820271382	0.0015752200365977	-0.3673414006330614	-0.0439615821207616	-0.2606322576299131	immune system process
HAX1	-0.5356522014259023	-0.039202242013556	-0.2946803032941427	-0.0215664726768851	0.4708577918997786	mitochondrion organization
HBA1	-0.133432456206659	-0.0016849850569776	-0.6475189130187806	-0.0081768688336011	-0.1718186360747683	anatomical structure development
HBB	-1.2414133378065175	-0.0020148138472599	-1.106234580710784	-0.0017954187244936	-0.6102857527775697	cell adhesion
HBD	-1.0077662257877298	-0.0016063793639056	-0.7165530881299698	-0.0011421856224791	-0.0081661586072932	anatomical structure development
HBE1	0.7996437742656556	0.0016904469387975	-0.0489145289120788	-0.0001034053141201	-0.1685884720788071	anatomical structure development
HBEGF	0.3621321219686902	0.0146696101288296	0.3971136459201068	0.0160866766825776	0.6129760198204945	cell motility
HBG1	-1.0063535381115127	-0.0014682698121046	-0.4596216764093859	-0.0006705880258812	0.4907168257764746	anatomical structure development
HBG2	-0.1777471169980427	-0.0004776065033737	-0.8183522403263644	-0.0021989124697569	-0.151002043999415	anatomical structure development
HBM	0.3717899494616848	0.0036416825549772	-0.2817135521668857	-0.0027593842434746	0.7865166000252702	anatomical structure development
HBP1	-0.140378066559943	-0.0037017696151856	-0.5181254363717398	-0.0136629677571227	0.9779188174163264	regulation of DNA-templated transcription
HBQ1	1.3483716517557256	0.0165027206458383	-0.288111698967084	-0.0035261990836581	-0.0981197330216457	anatomical structure development
HBS1L	-0.0804530246564252	-4.264010306790536e-05	-0.2810619650100745	-0.0001489628414553	0.6664424544822342	mRNA metabolic process
HBZ	-0.6433405768795879	-0.0192107929662013	-1.4729805027345106	-0.0439846707921552	0.2448270617843536	anatomical structure development
HCAR1	0.4264747689216571	0.004545368087167	-0.2015534696668297	-0.002148156879709	0.6454512764930773	negative regulation of lipid catabolic process
HCAR2	0.0338114673398303	0.0010203624613813	-0.3723070214934683	-0.0112354812946298	0.1652538150236719	programmed cell death
HCAR3	0.047211608542117	0.0014508127304992	-0.6334265181527932	-0.0194651969028353	0.0919598300210886	negative regulation of lipid catabolic process
HCCS	-0.4616881204715929	-0.0077812915824282	-0.1220207491737544	-0.0020565377065744	-0.197047425192426	generation of precursor metabolites and energy
HCFC1	-0.3570656734109327	-0.0059037238441763	-0.3724119663599493	-0.0061574594517954	0.1089773168225274	regulation of DNA-templated transcription
HCFC1R1	-0.6002034423256959	-0.0008498880743331	-1.069846431281394	-0.0015149025466944	0.2801071375327429	Other
HCFC2	-0.2928479824059098	-0.0097225530158762	-0.164962780358346	-0.005476764307897	0.5741123385006561	regulation of DNA-templated transcription
HCK	0.1052448522790936	0.0030486276359685	-0.6845710869325841	-0.0198299706751761	0.0866701294552761	immune system process
HCLS1	0.4981957006807196	0.0568695374284048	0.2355998808699159	0.0268939620011817	1.0055746209639582	regulation of DNA-templated transcription
HCN1	0.0962488950895993	0.0015310311741902	-0.361941937050552	-0.0057574103926631	0.4203975191877335	transmembrane transport
HCN2	1.441423493323876	0.0356060431320863	0.6913825728694243	0.0170785323150205	0.01261410214306	transmembrane transport
HCN3	-0.4681369251238397	-0.0048606656935608	-0.399359675619067	-0.0041465515119527	0.2305827324354102	transmembrane transport
HCN4	0.7356472053931101	0.0167183183897638	-0.7630299556505453	-0.0173406187721142	0.4561321038492277	transmembrane transport
HCRT	-0.5227065535297382	-0.0174777390303738	-1.1659677723186956	-0.0389864644030202	0.4960180386552016	signaling
HCRTR1	-0.2541768041180553	-0.0093493853858744	-0.4777063814231248	-0.0175714738278868	0.4651226440685341	signaling
HCRTR2	0.6680735228661445	0.0207336617821507	-0.1728090993315457	-0.0053631303977545	0.5427916455851125	signaling
HCST	0.695656564353156	0.0395884237642094	0.1866881388230931	0.0106240486041445	0.5789705095866025	defense response to other organism
HDAC1	-0.3277669493254881	-0.0204084090997515	-0.1937189183805	-0.0120619084529618	0.5900776165566275	regulation of DNA-templated transcription
HDAC10	-0.3541654121079325	-0.0227512319084014	-0.8907306630039248	-0.0572196470607091	0.8993868488707171	regulation of DNA-templated transcription
HDAC11	0.6038258588215258	0.0176733790618472	0.486231448571498	0.0142315082682391	1.146199596180425	chromatin organization
HDAC2	0.7100479199354606	0.0421228828022512	-0.2819214730792239	-0.0167247094689518	-0.4793778717705786	regulation of DNA-templated transcription
HDAC3	-1.2819721571191622	-0.1030397941006097	-0.9234181292546552	-0.0742206555569721	0.0551902987543924	regulation of DNA-templated transcription
HDAC4	0.4669667133477692	0.0117783014107707	-0.9825102956563746	-0.0247818571873407	-0.3328843433023631	regulation of DNA-templated transcription
HDAC5	0.1562621460891416	0.0045783246182657	0.0884559891805269	0.0025916720270002	-0.1600611406934877	regulation of DNA-templated transcription
HDAC6	-0.5232988495488959	-0.0150369924417875	-0.6460452597957188	-0.0185641105402299	0.6326743305916818	autophagy
HDAC7	-0.6281851973109168	-0.0181821923509671	-0.2281730945633969	-0.0066042420490429	0.140640788056544	chromatin organization
HDAC8	1.4708629904683006	0.0067556737152209	-0.5057337374397426	-0.0023228350560607	-1.2632330844752175	chromatin organization
HDAC9	-1.4950739182229338	-0.0403729760876921	-1.258153662354998	-0.0339751814982343	0.1854941206486161	immune system process
HDC	0.677022639958927	0.0019301915465229	0.0575626453795707	0.0001641111019771	0.2519163740256747	amino acid metabolic process
HDDC2	0.1669024302085887	0.000672950598601	-0.0872388459596843	-0.0003517470269094	-0.1628913785872069	nucleobase-containing small molecule metabolic process
HDDC3	-0.2170691667762115	-0.0011148672405626	-0.4665102519060538	-0.0023959966537894	-0.2032122667751913	Other
HDGF	1.1463156322294572	0.0219909190886899	0.3231491565964456	0.0061992934201462	0.5337605071417225	regulation of DNA-templated transcription
HDGFL1	0.8514556929577803	0.0007007480353042	0.1317261830750951	0.0001084106486708	0.2225662157731029	chromatin organization
HDGFL2	0.5838261073661476	0.0077199326177025	-0.4101397876521007	-0.0054232784121237	0.4553316558924176	chromatin organization
HDGFL3	0.027893020803355	0.0001345001463137	-0.7102274821745047	-0.0034247169190454	0.3286899117302755	cytoskeleton organization
HDHD2	0.4397721164657017	0.0041624430823478	0.2709989866341983	0.0025650054084926	-0.1362702944220546	Other
HDHD3	-0.7623871109762204	-0.0028597140532718	-1.6147664531995494	-0.0060569889659515	-0.6964946678070922	Other
HDHD5	0.8233501576732001	0.0009163887254902	-0.1623996857012973	-0.0001807508501855	0.3986629786332474	lipid metabolic process
HDLBP	0.6614976542653028	0.2211657872247156	0.1910831438666859	0.0638869294035316	0.5933538952695463	lipid metabolic process
HDX	-0.279093506581829	-0.0001473613714752	-0.4615694902522	-0.0002437086908531	0.5401069700868057	regulation of DNA-templated transcription
HEATR1	0.4925338211881245	0.0263544997041341	-0.6225350043954245	-0.0333106030151903	0.3201657973777419	regulation of DNA-templated transcription
HEATR3	-0.2883682326507427	-0.0119825651713363	-1.0271631656989348	-0.0426817110242878	0.8611635097239182	intracellular protein transport
HEATR4	1.5736029310235358	0.0018851763113661	0.8279022922385146	0.0009918269461017	-0.0711991732813213	Other
HEATR5B	0.3962403571366947	0.104916521762654	0.5399756366104539	0.1429747490617159	0.4782169549460304	vesicle-mediated transport
HEATR6	-0.3122245675695912	-0.0116806332973459	-1.1452074011542153	-0.0428433540845803	0.5864776050377727	Other
HEATR9	-0.3158695047361262	-0.0005704603255534	0.1640595463267845	0.0002962915406661	0.6035532646865762	Other
